Risk ID,Asset,Threat,Vulnerability,Likelihood (1-5),Impact (1-5),Risk Score,Risk Owner,Existing Controls,Treatment Option,Treatment Plan,Residual Risk,Status
R-001,Clinician laptop (field),Theft from vehicle during home visit,No full-disk encryption on 15% of legacy fleet,3,5,15,IT Director,Password lock only,Mitigate,Deploy full-disk encryption org-wide; complete by Q3; enforce via MDM,4,In Progress
R-002,EHR platform,Ransomware encrypting patient records,Delayed patch cycle on EHR app servers,2,5,10,CISO,Vendor-managed patching (best effort),Mitigate,Move to enforced 72hr critical patch SLA with vendor; offline immutable backups,4,Open
R-003,Clinician credentials,Phishing leading to EHR account compromise,No MFA on legacy EHR mobile app version,3,4,12,IT Director,Password-only auth on older app version,Mitigate,Force upgrade to MFA-enabled app version; disable legacy auth endpoint,3,In Progress
R-004,RPM devices (BP cuffs/glucose meters),Data interception over unsecured home Wi-Fi,Device firmware lacks TLS enforcement on some older units,3,3,9,Clinical Ops Manager,Gateway-level encryption for newer devices,Mitigate,Phase out unsupported device models; require gateway-side encryption for all new procurement,4,In Progress
R-005,Departed clinician access,Unauthorized EHR access after termination,Manual offboarding process with delays,2,5,10,HR Director,Manual IT ticket on termination,Mitigate,Automate deprovisioning via HR system trigger; target same-day revocation,3,In Progress
R-006,Paper chart backups (some rural clinicians),Loss/exposure of physical PHI records,Some clinicians retain paper backups for connectivity gaps,3,3,9,Clinical Ops Manager,Locked bag policy (informal),Mitigate,Formalize physical PHI handling procedure; move toward offline-capable EHR app,4,Open
R-007,Telehealth platform,Unauthorized recording/interception of video visit,Platform lacks end-to-end encryption on free tier,2,4,8,IT Director,Vendor-provided TLS in transit,Mitigate,Upgrade to enterprise tier with E2E encryption and BAA,2,Planned
R-008,Third-party billing vendor,Vendor breach exposing patient billing/PHI data,Vendor has not provided current SOC 2 report,3,4,12,Compliance Officer,Signed BAA only,Mitigate,Require current SOC 2 Type II or ISO 27001 evidence annually; escalate if not provided,4,Open
R-009,Clinician-owned BYOD tablets (scheduling only),Malware on personal device used for work data,No MDM enrollment on BYOD devices,3,2,6,IT Director,Scheduling-app-only access (no PHI on BYOD),Accept,Maintain strict app-level restriction preventing PHI on BYOD; annual policy re-attestation,6,Accepted
R-010,Backup infrastructure,Backup corruption undetected until needed during disaster,Restore testing performed inconsistently,2,4,8,IT Director,Automated backup jobs,Mitigate,Implement quarterly mandatory restore test with sign-off,2,Planned
